=== 07_吕祖灵签 ===

（请将 07_吕祖灵签 的签文原文粘贴在这里）
1 上上｜古人王母祝寿
碧海青天夜夜心，广寒宫里冷森森；荣华富贵如朝露，寂寞孤单恨最深。 解：孤苦、分离、空虚。感情破裂，家宅不宁，财运低迷，诸事不顺。
16 上吉｜古人达摩渡江
一苇渡江任去留，心无挂碍自悠悠；功成不必居人上，德厚方能福泽悠。 解：超凡脱俗，万事顺遂。事业稳、财运平，感情和睦，平安健康。
17 中吉｜古人月下追韩信
萧何月下赶韩信，为国求贤一片心；伯乐识马方得用，青云路上遇知音。 解：贵人赏识，才华得展。事业遇伯乐，升职加薪，合作有利。
18 下下｜古人韩信未央被杀
功高震主祸难逃，鸟尽弓藏走狗烹；富贵荣华如梦幻，一朝失势命飘摇。 解：功成身退，防小人陷害。事业顶峰易翻车，财运大起大落，感情危机。
19 上吉｜古人崔梦熊得第
喜得秋风万事足，一举成名天下福；凤凰五彩利飞行，只看子午时日卜。 解：金榜题名，名利双收。考试、晋升、创业皆吉，财运亨通。
20 中吉｜古人王道人炼丹
九转丹成白日昇，神仙有数利人营；一朝走马龙行会，此是荣华一美征。 解：苦尽甘来，修成正果。长期努力终有回报，事业稳，财运渐丰。
21 中平｜古人孙庞斗智
同窗结义却相残，诡计阴谋惹祸端；莫道智谋能取胜，到头终究受天瞒。 解：小人当道，内斗耗损。防竞争、纠纷、背叛，合作不利，感情不和。
22 上上｜古人郭子仪祝寿
满门朱紫庆生辰，福寿双全世所珍；七子八婿皆显贵，荣华富贵享天伦。 解：福禄寿全，家运昌盛。事业、财运、感情、家宅皆吉，万事圆满。
23 下下｜古人周瑜归天
赤壁功成意气扬，谁知短命少年亡；英雄气短空遗恨，财运功名两渺茫。 解：英年早逝，功败垂成。事业受阻，健康堪忧，财运破败，感情分离。
24 中吉｜古人苏武牧羊
雪地冰天十九年，忠心不改志弥坚；一朝得遇还乡日，名垂青史万古传。 解：坚守信念，终得回报。长期忍耐，事业有成，财运稳，感情忠贞。
25 上吉｜古人孔子周游
周游列国志难酬，大道之行不我谋；一旦时来天地泰，春风得意占鳌头。 解：厚积薄发，时来运转。前期奔波，后期大成，财运渐旺，感情稳定。
26 下下｜古人屈原投江
举世皆浊我独清，众人皆醉我独醒；一腔热血付流水，汨罗江上恨难平。 解：怀才不遇，悲愤难平。事业受阻，财运低迷，感情失意，易有是非。
27 中吉｜古人关公过五关
过五关来斩六将，千里独行义气扬；虽有险阻终能过，功成名就耀四方。 解：突破难关，勇往直前。克服困难，事业成功，财运渐佳，感情忠贞。
28 中平｜古人张飞喝断当阳桥
一声喝断当阳桥，勇冠三军胆气豪；虽有威名无远虑，到头难免祸根苗。 解：勇而无谋，易招祸患。事业有冲劲但缺规划，财运起伏，感情冲动。
29 上吉｜古人文昌帝君
文星高照耀门庭，笔下生花锦绣成；金榜题名功名显，荣华富贵自亨通。 解：学业 / 事业大吉，文运亨通。考试、写作、文职、晋升皆吉，财运好。
30 下下｜古人马嵬坡缢死杨贵妃
六军不发无奈何，宛转蛾眉马前死；荣华富贵一场梦，红颜薄命恨难辞。 解：美色招祸，富贵成空。感情危机，家宅不宁，财运破败，防桃色纠纷。
31 上上｜古人赵匡胤登基
陈桥兵变黄袍加，万里山河一掌拿；天意人心皆归顺，荣华富贵享无涯。 解：大权在握，基业稳固。事业登顶，财运鼎盛，家宅安宁，万事大吉。
32 中吉｜古人穆桂英挂帅
巾帼英雄胆气豪，辕门外斩将显英豪；一朝挂帅三军服，名利双收步步高。 解：女强运，掌权成事。女性事业吉，升职掌权，财运佳，感情强势圆满。
33 下下｜古人梁武帝出家
半生帝王半生僧，看破红尘万事空；荣华富贵皆虚幻，到头来一场春梦。 解：看破红尘，事业空忙。努力难有回报，财运平平，感情淡漠，宜修身。
34 中平｜古人伍子胥过昭关
一夜白头过昭关，历尽艰辛渡险滩；虽有才华遭陷害，功成之后亦难安。 解：危机重重，险象环生。事业受阻，财运不稳，感情波折，需谨慎避险。
35 上吉｜古人李白醉卧长安
天子呼来不上船，自称臣是酒中仙；才华盖世无人及，富贵荣华自安然。 解：才华出众，自由洒脱。事业凭实力成功，财运够用，感情随性自在。
36 下下｜古人安禄山造反
渔阳鼙鼓破霓裳，盛世繁华一旦亡；叛乱四起生灵炭，财运功名尽遭殃。 解：大乱将至，灾祸连连。事业崩溃，财运破败，家宅不宁，诸事凶险。
37 上上｜古人尧舜让位
禅让贤明万古传，民心归顺自安然；国泰民安享太平，福禄寿喜乐无边。 解：谦让得福，名利双收。事业平稳晋升，财运亨通，感情和睦，家宅安宁。
38 中吉｜古人黄忠请战
老当益壮胆气豪，宝刀未老显英豪；虽非年少身强健，建功立业在今朝。 解：老运亨通，宝刀未老。中老年事业财运转好，健康尚可，感情稳定。
39 中平｜古人陈后主亡国
玉树后庭花正开，谁知国破家亦摧；沉迷酒色无大志，荣华富贵化尘埃。 解：贪图享乐，事业荒废。沉迷安逸难成事，财运耗散，感情花心易败。
40 下下｜古人秦桧害岳飞
风波亭上起冤魂，陷害忠良罪恶深；虽得荣华一时乐，遗臭万年恨难平。 解：小人陷害，冤屈难伸。事业遭小人破坏，财运受损，感情被挑拨，防官司。
41 上吉｜古人仁贵征东
跨海征东胆气豪，功成名就显英豪；衣锦还乡荣故里，荣华富贵乐逍遥。 解：远征得利，建功立业。外出发展吉，事业成功，财运大进，感情圆满。
42 中吉｜古人吕蒙正赶斋
时运不济命多乖，破窑之内受饥寒；一朝得遇时来运，金榜题名富贵来。 解：先贫后富，时来运转。前期穷困，后期发达，财运渐旺，感情苦尽甘来。
43 下下｜古人妲己乱商
妖妃乱国祸连连，忠臣尽丧国祚偏；酒池肉林荒朝政，财运功名尽化烟。 解：女色 / 小人乱局，灾祸不断。感情招祸，家宅不宁，财运破败，事业崩塌。
44 中平｜古人伯牙碎琴
知音难觅恨难平，碎琴绝弦不再鸣；满腔心事无人诉，孤芳自赏度余生。 解：知音难遇，孤独寂寞。事业少贵人，财运平平，感情难寻知己，易孤独。
45 上上｜古人刘秀复国
中兴汉室显英才，扫平群寇定尘埃；天意人心皆归顺，荣华富贵享天开。 解：绝地重生，复国大业。事业东山再起，财运鼎盛，家宅安宁，万事顺遂。
46 中吉｜古人杨六郎守三关
镇守三关胆气豪，忠心报国显英豪；虽有险阻终能守，名利双收步步高。 解：守成得利，稳扎稳打。事业稳守可成，财运平稳，感情忠贞，家宅安宁。
47 下下｜古人宋徽宗亡国
沉迷书画废朝政，金兵南下国祚倾；荣华富贵一场梦，北狩他乡恨难平。 解：玩物丧志，事业荒废。沉迷爱好误正事，财运耗散，感情不稳，防灾祸。
48 中平｜古人冯唐易老
壮志未酬鬓已霜，时运不济命多乖；空有才华无处用，光阴虚度恨难排。 解：怀才不遇，时不我与。事业难展，财运平平，感情易错过，需惜时。
49 上吉｜古人苏武归汉
雪地冰天十九年，忠心不改志弥坚；一朝得遇还乡日，名垂青史万古传。 解：坚守终得回报，名成利就。长期努力成功，财运稳，感情忠贞，家宅安宁。
50 下下｜古人吴三桂引清兵
引狼入室祸中原，反复无常不义贤；虽得荣华一时乐，到头终究受天谴。 解：背信弃义，引火烧身。事业因背叛失败，财运破败，感情不忠，防灾祸。
51 上上｜古人陶渊明归隐
采菊东篱悠然见，远离尘嚣自安然；富贵荣华非所愿，清风明月乐无边。 解：归隐得福，自在逍遥。事业宜退不宜进，财运够用，感情平淡和睦，健康长寿。
52 中吉｜古人仁贵父子相会
虎坐中堂，鸡犬相闹；天不如人求，反增多少笑。安而不危，菊花天到。 解：骨肉团圆，危机化解。家人团聚，事业转好，财运渐佳，感情和睦。
53 下下｜古人吕布殒命白门楼
勇冠三军无智谋，反复无常不义徒；白门楼上身殒命，荣华富贵化尘埃。 解：有勇无谋，反复败亡。事业缺谋略，财运破败，感情花心，防小人。
54 中平｜古人江郎才尽
年少才华盖世雄，一朝才尽梦成空；笔墨难写心中事，壮志难酬恨不穷。 解：才华衰退，后劲不足。事业后期乏力，财运平平，感情易变淡，需充电。
55 上吉｜古人包公断案
铁面无私断案明，善恶分明不徇情；一身正气鬼神敬，福禄寿喜自临门。 解：公正得福，是非分明。事业凭正直成功，财运稳，感情忠贞，家宅安宁。
56 中吉｜古人郭子仪单骑见回纥
单骑见敌胆气豪，一言能退万军骄；智勇双全人敬仰，名利双收步步高。 解：智勇化解危机，贵人相助。事业凭智慧脱困，财运渐佳，感情和睦。
57 下下｜古人隋炀帝亡国
荒淫无道乱朝纲，民怨沸腾国祚亡；大运河畔尸骨累，荣华富贵一场空。 解：荒淫败国，灾祸连连。事业因纵欲失败，财运破败，感情混乱，防家破。
58 中平｜古人贾岛推敲
两句三年得，一吟双泪流；知音如不赏，归卧故山秋。 解：精益求精，慢工出细活。事业需打磨，财运慢进，感情细腻，追求完美。
59 上吉｜古人孙膑下山
鬼谷学艺已学成，下山辅佐帝王兴；智谋过人平天下，名利双收显威名。 解：智谋成事，大展宏图。事业凭智慧成功，财运大进，感情聪慧圆满。
60 下下｜古人庞涓乱魏
嫉贤妒能祸心藏，陷害同门不义彰；虽得荣华一时乐，马陵道上命遭殃。 解：嫉妒招祸，害人害己。事业因嫉妒失败，财运受损，感情挑拨，防小人。
61 中吉｜古人平贵鸿雁传书
鸿雁传书万里遥，相思无尽恨难消；一朝得遇团圆日，苦尽甘来乐逍遥。 解：异地相思，终得团圆。感情虽有距离，终能相聚，财运渐佳，事业稳。
62 中平｜古人杜甫避乱
战乱纷飞离故乡，颠沛流离苦备尝；虽有才华难展志，穷愁潦倒度时光。 解：乱世奔波，颠沛流离。事业动荡，财运平平，感情分离，需守旧避险。
63 上吉｜古人薛丁山征西
挂帅征西胆气豪，建功立业显英豪；衣锦还乡荣故里，荣华富贵乐逍遥。 解：远征成功，名利双收。外出发展吉，事业成功，财运大进，感情圆满。
64 下下｜古人陈世美不认妻
富贵忘恩负义肠，不认妻儿丧天良；一朝事发身败裂，荣华富贵化黄粱。 解：忘恩负义，身败名裂。事业因负义失败，财运破败，感情不忠，防报应。
65 中吉｜古人狄仁杰荐贤
举贤荐能为国忙，慧眼识才助君王；功德圆满名垂史，福禄寿喜自安康。 解：贵人荐贤，助人助己。事业得贵人助，财运渐佳，感情和睦，家宅安宁。
66 中平｜古人李煜亡国
词坛才子帝王囚，国破家亡恨难休；春花秋月何时了，往事不堪回首头。 解：才华难救国，命运多舛。事业难成，财运平平，感情悲伤，防灾祸。
67 上吉｜古人赵匡胤千里送京娘
千里送妹义气扬，不贪美色品德彰；一朝得志登龙位，福禄寿喜乐无疆。 解：正直得福，贵人相助。事业凭正直成功，财运亨通，感情忠贞，家宅安宁。
68 下下｜古人潘安遇祸
貌美才高遭人妒，仕途坎坷祸难除；虽有才华难展志，到头难免受刑诛。 解：才美招妒，灾祸连连。事业遭小人嫉妒，财运受损，感情招祸，防纠纷。
69 中吉｜古人吕蒙勤学
昔日阿蒙不学无，后来勤学智有余；士别三日刮目看，功成名就显英奇。 解：勤学成才，后来居上。事业靠学习进步，财运渐佳，感情成熟，越来越好。
70 中平｜古人孔融让梨
四岁让梨礼仪彰，聪明伶俐世无双；虽有才华遭人忌，到头难免祸灾降。 解：聪明有礼，防人嫉妒。事业聪明但需低调，财运平平，感情乖巧，防小人。
71 上上｜古人姜子牙封神
封神台上定乾坤，众神归位各安身；功成身退无牵挂，福禄寿喜乐长春。 解：大功告成，名利双收。事业圆满，财运鼎盛，感情和睦，家宅安宁，万事大吉。
72 中吉｜古人赵云单骑救主
长坂坡上显神威，单骑救主胆气魁；忠心耿耿人敬仰，名利双收步步高。 解：智勇救危，贵人赏识。事业凭智勇脱困，财运渐佳，感情忠贞，家宅安宁。
73 下下｜古人李后主亡国
故国不堪回首中，雕栏玉砌梦成空；荣华富贵随流水，只剩相思泪眼红。 解：国破家亡，万事成空。事业崩溃，财运破败，感情悲伤，家宅不宁，诸事凶险。
74 中平｜古人王昭君出塞
昭君出塞远他乡，琵琶声断泪两行；虽得荣华非所愿，一生寂寞恨悠长。 解：远走他乡，寂寞孤单。事业外出发展但孤独，财运平平，感情分离，易孤单。
75 上吉｜古人曹操煮酒论英雄
煮酒论英雄，天下谁与同；一朝时机至，霸业自可成。 解：英雄识时，霸业可成。事业有雄心，时机一到成功，财运亨通，感情强势。
76 中吉｜古人司马光砸缸
年少聪明智不凡，砸缸救人显英贤；一朝得志登高位，名利双收福自全。 解：机智解难，少年得志。事业凭智慧成功，财运渐佳，感情聪慧，家宅安宁。
77 下下｜古人李林甫口蜜腹剑
口蜜腹剑祸心藏，陷害忠良乱朝纲；虽得荣华一时乐，到头终究受天殃。 解：小人阴险，祸国殃民。事业遭小人陷害，财运受损，感情挑拨，防官司灾祸。
78 中平｜古人柳宗元被贬
被贬蛮荒恨难平，壮志未酬泪暗零；虽有才华无处用，穷愁潦倒度余生。 解：被贬失意，壮志难酬。事业受阻，财运平平，感情悲伤，需忍耐等待。
79 上吉｜古人范仲淹忧国忧民
先天下之忧而忧，后天下之乐而乐；忠心耿耿为家国，福禄寿喜自盈眸。 解：忧国忧民，德高福厚。事业凭德行成功，财运稳，感情忠贞，家宅安宁，长寿。
80 下下｜古人三国分争
三分而已，何须望奢；人要回家，只待日西斜。 解：三分天下，战乱不休。事业分裂，财运不稳，感情不和，家宅不宁，诸事艰辛。
81 上上｜古人张良功成身退
功成身退不贪荣，归隐山林自安宁；荣华富贵如浮云，福寿绵长乐太平。 解：功成身退，福寿绵长。事业圆满后宜退，财运够用，感情和睦，健康长寿。
82 中平｜古人贾岛苦吟
两句三年得，一吟双泪流；知音如不赏，归卧故山秋。 解：苦吟求工，慢成难求。事业需长期打磨，财运慢进，感情细腻，追求完美。
83 下下｜古人秦桧卖国
卖国求荣罪恶深，陷害忠良祸国心；虽得荣华一时乐，遗臭万年恨难禁。 解：卖国求荣，遗臭万年。事业因卖国失败，财运破败，感情不忠，防灾祸报应。
84 中平｜古人李商隐无题
相见时难别亦难，东风无力百花残；春蚕到死丝方尽，蜡炬成灰泪始干。 解：相思无尽，离别伤感。感情多离别相思，财运平平，事业难展，易伤感。
85 上吉｜古人岳飞抗金
精忠报国气轩昂，收复失地显英豪；虽遭陷害名不朽，福禄寿喜自昭彰。 解：精忠报国，名垂青史。事业凭忠心成功，财运稳，感情忠贞，家宅安宁，名成利就。
86 中吉｜古人文天祥殉国
人生自古谁无死，留取丹心照汗青；忠心耿耿为家国，名垂万古永留馨。 解：忠贞殉国，名垂千古。事业凭气节成功，财运稳，感情忠贞，家宅安宁，流芳百世。
87 下下｜古人贾似道误国
误国殃民罪恶深，荒淫无道乱朝纲；虽得荣华一时乐，到头终究丧其身。 解：误国殃民，身败名裂。事业因荒淫失败，财运破败，感情混乱，防家破人亡。
88 中平｜古人杜牧泊秦淮
烟笼寒水月笼沙，夜泊秦淮近酒家；商女不知亡国恨，隔江犹唱后庭花。 解：醉生梦死，国破家亡。事业沉迷安逸，财运耗散，感情花心，防灾祸。
89 上吉｜古人王阳明平叛
智谋过人平叛功，心学传世显英雄；功成名就身不退，福禄寿喜乐无穷。 解：智谋平叛，建功立业。事业凭智慧成功，财运大进，感情聪慧圆满，家宅安宁。
90 下下｜古人祭李彦贵
雨打梨花，人在天涯，功名多费力；图事不能成，阴阳反覆，时运令人嗟。 解：时运不济，功名难成。事业受阻，财运平平，感情分离，家宅不宁，诸事不顺。
91 上上｜古人诸葛亮隆中对策
隆中对策定三分，未出茅庐知乾坤；一朝得志辅明主，功成名就万古存。 解：未卜先知，大业可成。事业凭智慧成功，财运鼎盛，感情和睦，家宅安宁，万事顺遂。
92 中吉｜古人刘关张结义
桃园结义义气扬，生死与共不相忘；同心协力成大业，名利双收福自昌。 解：结义同心，合作大吉。合伙、团队、兄弟 / 姐妹情吉，事业成功，财运渐佳。
93 下下｜古人魏延反骨
脑后反骨祸心藏，背叛主公不义彰；虽有战功难掩恶，到头难免丧身亡。 解：背叛招祸，身败名裂。事业因背叛失败，财运破败，感情不忠，防小人背叛。
94 中平｜古人蒋干盗书
自作聪明盗书忙，中计反害友身亡；虽有小聪明无大智慧，到头终究受祸殃。 解：自作聪明，弄巧成拙。事业耍小聪明反坏事，财运受损，感情挑拨，防小人。
95 上吉｜古人司马懿装病
装病避祸藏锋芒，静待时机起四方；一朝得志掌大权，名利双收福自长。 解：隐忍待时，大权在握。事业宜隐忍，时机一到成功，财运亨通，感情沉稳。
96 中吉｜古人陆逊火烧连营
火烧连营破敌强，智谋过人显英芒；功成名就步步高，福禄寿喜乐安康。 解：智谋破敌，大功告成。事业凭智慧成功，财运大进，感情聪慧圆满，家宅安宁。
97 下下｜古人黄皓乱蜀
宦官乱政祸心藏，蒙蔽君主乱朝纲；虽得荣华一时乐，到头终究国破亡。 解：小人乱政，国破家亡。事业遭小人蒙蔽，财运破败，感情混乱，防家破国亡。
98 中平｜古人姜维九伐中原
九伐中原志未酬，心力交瘁恨难休；虽有忠心难回天，穷愁潦倒度春秋。 解：壮志难酬，心力交瘁。事业努力难有回报，财运平平，感情疲惫，需量力而行。
99 中平｜古人邓艾钟会入川
可以转移，可以了结，只恨运命迍邅，故此一得一失。 解：先凶后吉，得失相伴。事业有转机但有波折，财运起伏，感情分分合合，耐心应对。
100 下下｜古人孔明求寿
月落星沉，风生雨至；只要龙虎不相争，方可如时利。 解：大凶之象，诸事不宜。事业失败，财运破败，健康堪忧，感情破裂，防灾祸、丧事。
